Year,Rank,G,Ghome,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,attendance,BPF,PPF,HR/9,K/9,BB/9,1B,1B/9,2B/9
1983,3.730769230769231,162.23076923076923,81.11538461538461,81.0,81.0,698.8461538461538,5520.692307692308,1440.1153846153843,248.57692307692307,39.73076923076923,126.96153846153848,519.9230769230769,835.2307692307693,127.8846153846154,62.26923076923077,27.57692307692308,48.30769230769231,698.8461538461538,622.5769230769231,3.8615384615384616,28.653846153846157,9.538461538461538,37.57692307692308,4354.846153846154,1440.1153846153843,126.96153846153848,519.9230769230769,835.2307692307693,134.53846153846155,155.03846153846155,0.9785384615384616,1751551.4615384615,100.15384615384616,100.1923076923077,0.7871601928885592,5.1784219172274915,3.223517566636638,1024.8461538461534,6.35403529224736,1.5411742885909594
1984,3.6538461538461537,161.92307692307693,80.96153846153847,80.92307692307692,80.92307692307692,689.2692307692307,5531.884615384615,1437.7307692307693,238.96153846153845,37.88461538461539,125.3076923076923,512.3076923076923,865.3846153846154,116.6153846153846,58.11538461538461,25.692307692307693,49.46153846153846,689.2692307692307,613.1153846153846,3.8061538461538458,24.307692307692307,9.76923076923077,38.19230769230769,4350.538461538462,1437.7307692307693,125.3076923076923,512.3076923076923,865.3846153846154,135.65384615384616,150.30769230769232,0.9782692307692308,1720879.3461538462,100.23076923076924,100.3076923076923,0.7776756192867372,5.370687978499566,3.179447283271743,1035.5769230769229,6.426923280937813,1.483025973796347
1985,3.692307692307693,161.76923076923077,80.88461538461539,80.8076923076923,80.8076923076923,700.6153846153846,5502.884615384615,1414.5384615384614,247.03846153846155,37.11538461538461,138.53846153846155,532.2307692307693,863.5,119.1153846153846,55.03846153846154,26.884615384615383,44.0,700.6153846153846,625.8076923076923,3.893076923076923,24.115384615384617,9.884615384615383,37.57692307692308,4345.2307692307695,1414.5384615384614,138.53846153846155,532.2307692307693,863.5,131.69230769230768,154.53846153846155,0.9788846153846154,1800937.6538461538,100.26923076923076,100.23076923076924,0.8608377000424869,5.365537813340886,3.307127177453619,991.8461538461539,6.16304347826087,1.5350251380824245
1986,3.730769230769231,161.76923076923077,80.88461538461539,80.84615384615384,80.84615384615384,713.2692307692307,5504.076923076923,1418.4615384615386,250.42307692307693,32.88461538461539,146.65384615384616,547.1923076923077,950.2307692307692,127.3846153846154,62.30769230769231,31.23076923076923,45.19230769230769,713.2692307692307,637.9615384615385,3.964230769230769,22.26923076923077,9.076923076923077,38.61538461538461,4347.038461538462,1418.4615384615386,146.65384615384616,547.1923076923077,950.2307692307692,132.69230769230768,150.1153846153846,0.9786538461538462,1827161.6538461535,100.23076923076924,100.1923076923077,0.9108853950080956,5.902002247330188,3.3986799147076256,988.5,6.139697229767392,1.5554090760287729
1987,3.692307692307693,161.92307692307693,80.96153846153847,80.96153846153847,80.96153846153847,764.7307692307693,5542.115384615385,1457.5,261.2692307692308,34.46153846153846,171.46153846153845,553.4230769230769,965.3461538461538,137.8846153846154,58.80769230769231,32.38461538461539,42.69230769230769,764.7307692307693,687.5769230769231,4.284230769230769,21.57692307692308,8.153846153846153,37.34615384615385,4335.538461538462,1457.5,171.46153846153845,553.4230769230769,965.3461538461538,126.84615384615384,148.84615384615384,0.9794615384615384,2000442.5384615385,100.1153846153846,100.1923076923077,1.067793903693978,6.011789858415243,3.4464976402540715,990.3076923076922,6.167240339235653,1.6270803023313578
1988,3.730769230769231,161.53846153846155,80.76923076923077,80.6923076923077,80.6923076923077,668.4615384615385,5483.384615384615,1394.0,245.6153846153846,32.30769230769231,122.3076923076923,499.38461538461536,898.2692307692307,126.96153846153848,54.53846153846154,35.30769230769231,48.65384615384615,668.4615384615385,599.5769230769231,3.7284615384615374,23.923076923076923,11.23076923076923,40.34615384615385,4346.269230769231,1394.0,122.3076923076923,499.38461538461536,898.2692307692307,124.73076923076924,144.57692307692307,0.9799230769230768,2038419.3846153845,100.23076923076924,100.26923076923076,0.7598028370928205,5.580250081856233,3.1022893197525723,993.7692307692306,6.173517517234054,1.525817898639859
1989,3.769230769230769,162.0,81.0,80.88461538461539,80.88461538461539,669.4230769230769,5493.115384615385,1395.8846153846157,242.57692307692307,33.38461538461539,118.57692307692308,520.3076923076923,909.6153846153846,119.84615384615384,55.42307692307692,30.807692307692307,47.69230769230769,669.4230769230769,596.7692307692307,3.7057692307692314,18.57692307692308,11.23076923076923,41.11538461538461,4351.7307692307695,1395.8846153846157,118.57692307692308,520.3076923076923,909.6153846153846,128.92307692307693,144.69230769230768,0.9793076923076924,2122042.153846154,100.03846153846152,100.03846153846152,0.7357019753413762,5.643643112819833,3.2282115869017627,1001.346153846154,6.212780060983694,1.5050510406999866
1990,3.692307692307693,161.92307692307693,80.96153846153847,80.96153846153847,80.96153846153847,689.1923076923077,5491.076923076923,1416.0384615384614,251.0,33.26923076923077,127.57692307692308,532.7692307692307,917.4230769230768,126.53846153846152,58.07692307692308,33.11538461538461,48.5,689.1923076923077,618.4230769230769,3.855,16.5,10.0,42.80769230769231,4334.269230769231,1416.0384615384614,127.57692307692308,532.7692307692307,917.4230769230768,122.3076923076923,145.84615384615384,0.9801923076923076,2108606.461538461,100.23076923076924,100.34615384615384,0.794730723837751,5.715017170847715,3.3188453381370286,1004.1923076923076,6.255539484075923,1.563585379489045
1991,3.730769230769231,161.84615384615384,80.92307692307692,80.92307692307692,80.92307692307692,697.1923076923077,5498.769230769231,1406.076923076923,249.96153846153845,34.38461538461539,130.1153846153846,537.8461538461538,938.0769230769232,120.0,60.26923076923077,34.80769230769231,48.03846153846154,697.1923076923077,630.3846153846154,3.9046153846153846,14.076923076923077,10.461538461538462,43.53846153846154,4358.038461538462,1406.076923076923,130.1153846153846,537.8461538461538,938.0769230769232,120.42307692307692,143.8846153846154,0.980653846153846,2185144.6153846155,100.0,100.1153846153846,0.8061230793670405,5.811806652604824,3.3321977954090136,991.6153846153846,6.143501398829748,1.5486236750831794
1992,3.692307692307693,162.0,81.0,81.0,81.0,666.9615384615385,5495.961538461538,1405.5384615384614,252.42307692307693,32.5,116.84615384615384,526.2307692307693,905.3076923076924,125.53846153846152,61.57692307692308,37.69230769230769,49.76923076923077,666.9615384615385,604.2307692307693,3.738846153846154,16.115384615384617,11.461538461538462,42.65384615384615,4364.961538461538,1405.5384615384614,116.84615384615384,526.2307692307693,905.3076923076924,117.57692307692308,147.0,0.9810384615384614,2148864.076923077,100.07692307692308,100.03846153846152,0.7227660830565077,5.5998907383094405,3.255064367471738,1003.7692307692307,6.208936548916635,1.5613936152402437
